NO.,수업계획서,"수강가능학과",학부(과),교과구분,세부영역,교과번호,분반,교과목명,학년,학점,주야,강의유형,수업시간(강의실),집중수업주차,"학년별 수강인원","학년별수강정원","전체 수강인원","전체 수강정원","타학과 허용여부",복수전공,부전공,"융복합과목여부",교류학과여부
1,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90001,01,한국학특강,34,3,주간,,"목[7,8,9]/01-208",(~),0,50,0,50,Y,N,N,N,Y
2,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90002,01,한국역사,34,3,주간,,"화[7,8,9]/01-208",(~),0,50,0,50,Y,N,N,N,Y
3,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90003,01,한국전통과문화,34,3,주간,,"화[4,5,6]/01-208",(~),0,50,0,50,Y,N,N,N,Y
4,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90005,01,한국경제와경영,34,3,주간,,"금[4,5,6]/01-208",(~),0,50,0,50,Y,N,N,N,Y
5,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90006,01,한국의대중매체와대중문화,34,3,주간,,"목[7,8,9]/8-208,9",(~),0,40,0,40,Y,N,N,N,Y
6,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90009,01,동아시아역사,34,3,주간,,"목[4,5,6]/01-208",(~),0,50,0,50,Y,N,N,N,Y
7,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90010,01,동아시아경제발전,34,3,주간,,"월[4,5,6]/01-208",(~),0,50,0,50,Y,N,N,N,Y
8,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90203,01,도시경제와정책,34,3,주간,,"목[1,2,3]/01-208",(~),0,40,0,40,Y,N,N,N,Y
9,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90205,01,남북한정치외교,34,3,주간,,"화[7,8,9]/01-210",(~),0,40,0,40,Y,N,N,N,Y
10,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90206,01,글로벌경영의이해,34,3,주간,,"목[7,8,9]/01-210",(~),0,40,0,40,Y,N,N,N,Y
11,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90207,01,글로벌시장에서의마케팅관리,34,3,주간,,,(~),0,40,0,40,Y,N,N,N,Y
12,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90210,01,한국어발음과응용 ,34,3,주간,,"수[7,8,9]/01-208",(~),0,25,0,25,Y,N,N,N,Y
13,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90211,01,국제법에대한이해 ,34,3,주간,,"월[7,8,9]/01-208",(~),0,40,0,40,Y,N,N,N,Y
14,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90214,01,여가신체활동 I    ,34,3,주간,,,(~),0,20,0,20,Y,N,N,N,Y
15,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90217,01,재무회계특강,34,3,주간,,"수[1,2,3]/01-210",(~),0,40,0,40,Y,N,N,N,Y
16,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90219,01,기업가정신과기업혁신특강,34,3,주간,,"수[7,8,9]/01-210",(~),0,40,0,40,Y,N,N,N,Y
17,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90221,01,한국어언어학의이해,34,3,주간,,"목[4,5,6]/01-210",(~),0,40,0,40,Y,N,N,N,Y
18,수업계획서,수강가능학과,국제교류과,전공선택,전공선택,90222,01,회계와사례,34,3,주간,,"월[7,8,9]/01-210",(~),0,40,0,40,Y,N,N,N,Y
19,수업계획서,수강가능학과,공과대학,전공선택,전공선택,38185,01,UOS현장실습Ⅱ,1,3,주간,,,(~),0,0,0,0,,,,N,
20,수업계획서,수강가능학과,공과대학,전공선택,전공선택,38186,01,UOS현장실습Ⅲ,1,3,주간,,,(~),0,0,0,0,,,,N,
21,수업계획서,수강가능학과,공과대학,전공선택,전공선택,38187,01,UOS현장실습Ⅳ,1,3,주간,,,(~),0,0,0,0,,,,N,
22,수업계획서,수강가능학과,공과대학,전공선택,전공선택,38188,01,UOS현장실습Ⅴ,1,3,주간,,,(~),0,0,0,0,,,,N,
23,수업계획서,수강가능학과,공과대학,전공선택,전공선택,38189,01,UOS현장실습Ⅵ,1,3,주간,,,(~),0,0,0,0,,,,N,
24,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,30000,06,창의공학기초설계,1,3,주간,,"화[6,7,8,9]/37-나601",(~),0,0,0,0,,,,N,
25,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,30001,01,컴퓨터프로그래밍,1,3,주간,,"월[1,2]/37-나602,수[8,9]/39-B126",(~),0,0,0,0,,,,N,
26,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,30010,07,공학수학Ⅱ,2,3,주간,,"화[5,6,7]/39-B120",(~),0,0,0,0,,,,N,
27,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,34004,01,물리화학2,2,3,주간,,"금[1,2,3]/39-B120",(~),0,0,0,0,,,,N,
28,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,34006,01,유기화학2,2,3,주간,,"수[6,7,8]/39-B120",(~),0,0,0,0,,,,N,
29,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,34019,01,화학공정설계,4,3,주간,,"월[1,2,3]/3-203,4",(~),0,0,0,0,,,,N,
30,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,34024,01,공정제어,3,3,주간,,"화[1,2,3]/37-나601",(~),0,0,0,0,,,,N,
31,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,34053,01,반응공학2,3,3,주간,,"월[1,2,3]/11-501,2",(~),0,0,0,0,,,,N,
32,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34058,01,화학공학기초실험Ⅱ,2,3,주간,,"월[5,6,7,8,9]/11-304,5",(~),0,0,0,0,,,,N,
33,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34058,02,화학공학기초실험Ⅱ,2,3,주간,,"금[5,6,7,8,9]/11-304,5",(~),0,0,0,0,,,,N,
34,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,34060,01,화학공학실험Ⅱ,3,3,주간,,"수[5,6,7,8,9]/11-302,3",(~),0,0,0,0,,,,N,
35,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,34060,02,화학공학실험Ⅱ,3,3,주간,,"금[5,6,7,8,9]/11-302,3",(~),0,0,0,0,,,,N,
36,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,34098,01,전기화학,3,3,주간,,"월[6,7,8]/37-나602",(~),0,0,0,0,,,,N,
37,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,34104,01,반도체공학,4,3,주간,,"수[1,2,3]/11-501,2",(~),0,0,0,0,,,,N,
38,수업계획서,수강가능학과,화학공학과,전공선택,전공선택,34122,01,나노입자공학,2,3,주간,,"월[1,2,3]/39-B120",(~),0,0,0,0,,,,N,
39,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34124,01,학업설계상담 Ⅱ ,1,0,주간,,,(~),0,0,0,0,,,,N,
40,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34124,02,학업설계상담 Ⅱ ,1,0,주간,,,(~),0,0,0,0,,,,N,
41,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34124,03,학업설계상담 Ⅱ ,1,0,주간,,,(~),0,0,0,0,,,,N,
42,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34124,04,학업설계상담 Ⅱ ,1,0,주간,,,(~),0,0,0,0,,,,N,
43,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34124,05,학업설계상담 Ⅱ ,1,0,주간,,,(~),0,0,0,0,,,,N,
44,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34124,06,학업설계상담 Ⅱ ,1,0,주간,,,(~),0,0,0,0,,,,N,
45,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34124,07,학업설계상담 Ⅱ ,1,0,주간,,,(~),0,0,0,0,,,,N,
46,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34124,08,학업설계상담 Ⅱ ,1,0,주간,,,(~),0,0,0,0,,,,N,
47,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34125,01,프로젝트종합설계  ,4,3,주간,,"목[6,7,8,9,10]/11-501,2",(~),0,0,0,0,,,,N,
48,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34125,02,프로젝트종합설계  ,4,3,주간,,"목[6,7,8,9,10]/11-501,2",(~),0,0,0,0,,,,N,
49,수업계획서,수강가능학과,화학공학과,전공필수,전공필수,34125,03,프로젝트종합설계  ,4,3,주간,,"목[6,7,8,9,10]/3-203,4",(~),0,0,0,0,,,,N,
